AGE,AMT1
54,467200
55,6400
34,83600
41,138200
31,17300
56,6400
63,10400
43,13800
70,27400
70,31700
70,-31700
45,21900
39,59900
47,11400
20,531700
20,10000
59,63400
47,88450
59,100000
63,100000
52,106400
50,22900
36,14100
39,66000
63,21900
53,161000
10,38300
33,13100
13,45000
55,6400
31,13100
71,17400
40,6400
5,9800
35,6400
49,106400
41,102600
30,6200
30,469900
67,6400
76,109900
49,109100
49,106400
41,9800
33,9100
38,469900
38,6200
42,6400
26,16400
44,6400
78,39400
39,93900
61,279000
51,27400
49,12200
65,23300
11,48500
11,321900
63,29100
59,-51700
59,9200
59,51700
86,12000
43,6400
48,6400
59,21900
60,36000
60,170500
48,103700
48,-103700
48,66000
53,636700
55,14100
7,33500
45,100000
43,109400
73,19300
39,78900
41,78900
37,128500
49,23100
44,6400
46,206200
43,6400
41,39990
58,127900
49,127900
47,15300
1,35100
56,10300
46,69570
40,19800
56,76400
13,12200
44,64800
52,12300
67,120900
73,306400
73,306400
73,-306400
63,109100
36,5200
30,8500
43,113400
12,6400
10,6400
18,256900
40,21000
40,10000
63,4500
33,39400
65,79100
65,-74500
65,74500
4,45200
8,20100
58,256400
48,11100
54,13200
36,71900
73,19300
12,44300
55,38900
48,256400
1,9100
48,256400
13,60700
59,11200
65,65000
38,25600
53,100000
59,23000
6,50000
6,6600
76,8500
35,111500
56,6400
5,31600
57,78900
7,19000
44,10200
60,16500
46,104800
46,124400
49,97900
42,15700
56,146000
34,275600
72,8500
30,8000
29,4500
51,17400
38,101800
63,51800
63,6400
47,8500
36,101800
14,71800
36,71800
45,101800
48,91800
50,101800
17,105600
43,-8500
43,8500
35,8500
39,22000
38,8500
59,9000
39,14100
32,71500
22,10700
58,89200
50,106400
50,9400
3,13300
56,12000
72,106400
26,47100
34,4500
20,86000
51,30000
51,30000
51,30000
51,-38700
51,-36600
38,11000
49,483500
36,34900
23,9600
55,78900
65,79100
52,10000
52,456400
36,45000
51,74300
1,61100
32,10200
42,106400
25,6400
61,6400
38,12600
36,6400
32,27200
39,9800
49,2900
49,-2900
49,184600
48,106400
29,22000
56,137500
40,11100
40,8500
27,20000
49,26300
31,17200
24,11700
76,6400
46,112900
54,120900
23,9600
68,279000
42,279000
19,14100
31,26300
7,21100
57,20100
58,65600
12,55200
10,60500
51,10000
41,6400
18,8500
35,14100
60,108500
46,12600
53,6400
43,109900
47,76400
44,101800
35,121500
35,456400
18,35800
17,10500
66,12000
74,471100
62,25600
59,88400
46,121900
31,65800
50,16300
32,46200
59,10000
1,7800
27,12600
42,136000
60,10700
74,6400
11,4500
2,13300
52,3000
52,84300
34,41700
34,15000
51,141200
36,12600
65,67310
71,26300
51,6400
59,6400
46,12600
42,99800
42,300900
42,-350000
42,350000
41,6400
8,256400
8,52100
52,12300
47,15300
42,52300
26,78900
44,80000
45,76400
60,39200
69,76400
44,27700
40,9100
56,6400
58,45990
58,-45990
58,45990
49,108000
46,101800
59,197400
51,26400
51,14000
20,85200
41,102100
62,4500
31,29800
35,22900
17,101800
13,101800
18,86400
18,6400
18,-86400
56,6400
63,12000
7,13100
74,456400
48,106400
43,78900
44,11400
48,6900
35,6400
40,51800
36,21000
45,58400
45,17200
13,24300
55,101800
43,101800
36,20000
55,23400
45,78900
9,32700
45,78900
51,-6400
51,6400
35,8700
53,6400
75,14100
42,472800
16,12100
63,49000
63,12500
81,45700
63,85200
50,9100
57,14300
35,6400
22,17400
40,78900
69,43100
29,31200
48,479000
38,70000
38,22000
5,4600
53,21200
65,6400
48,6400
48,-76400
48,76400
37,9000
72,19300
29,9400
57,6400
35,94500
47,456400
47,15300
72,6400
46,66500
39,72100
56,40000
45,100000
47,138400
35,147400
61,14300
6,131600
1,18100
48,15000
55,62100
76,6400
35,10300
39,3200
38,17600
59,6400
43,155800
1,42900
29,456400
78,120600
40,8500
40,120400
54,37700
12,16300
46,13800
2,16600
60,13000
39,35100
55,101600
55,150000
55,-158500
55,158500
20,200
40,29000
45,23200
41,13600
40,74300
60,8000
40,21000
58,107700
52,26400
