¿œ¿⁄,ºÆ≈∫
2016-10-09,102478
2016-10-10,99123
2016-10-11,101391
2016-10-12,103067
2016-10-13,113871
2016-10-14,112686
2016-10-15,100262
2016-10-16,100230
2016-10-17,102390
2016-10-18,105118
2016-10-19,105355
2016-10-20,106264
2016-10-21,105869
2016-10-22,105645
2016-10-23,103197
2016-10-24,103961
2016-10-25,107023
2016-10-26,107073
2016-10-27,107036
2016-10-28,106258
2016-10-29,96223
2016-10-30,87744
2016-10-31,92003
2016-11-01,102031
2016-11-02,102789
2016-11-03,107486
2016-11-04,107049
2016-11-05,105298
2016-11-06,100240
2016-11-07,107217
2016-11-08,107561
2016-11-09,109676
2016-11-10,111468
2016-11-11,105930
2016-11-12,106302
2016-11-13,99326
2016-11-14,105491
2016-11-15,109737
2016-11-16,110254
2016-11-17,110676
2016-11-18,111878
2016-11-19,105820
2016-11-20,93979
2016-11-21,101232
2016-11-22,106542
2016-11-23,116979
2016-11-24,116610
2016-11-25,116310
2016-11-26,96277
2016-11-27,96236
2016-11-28,94904
2016-11-29,94822
2016-11-30,102345
2016-12-01,120364
2016-12-02,121856
2016-12-03,118078
2016-12-04,112198
2016-12-05,120557
2016-12-06,126272
2016-12-07,122729
2016-12-08,121546
2016-12-09,121893
2016-12-10,118782
2016-12-11,109721
2016-12-12,118986
2016-12-13,123334
2016-12-14,126938
2016-12-15,128802
2016-12-16,129411
2016-12-17,121813
2016-12-18,114407
2016-12-19,122614
2016-12-20,126867
2016-12-21,126694
2016-12-22,123578
2016-12-23,126621
2016-12-24,119659
2016-12-25,113682
2016-12-26,124955
2016-12-27,121849
2016-12-28,126623
2016-12-29,128955
2016-12-30,124129
2016-12-31,118178
2017-01-01,106059
2017-01-02,114024
2017-01-03,126393
2017-01-04,128805
2017-01-05,128537
2017-01-06,123745
2017-01-07,119544
2017-01-08,111642
2017-01-09,124176
2017-01-10,129187
2017-01-11,129013
2017-01-12,130047
2017-01-13,132292
2017-01-14,124895
2017-01-15,114396
2017-01-16,127462
2017-01-17,132930
2017-01-18,133930
2017-01-19,133122
2017-01-20,133728
2017-01-21,128036
2017-01-22,119708
2017-01-23,132660
2017-01-24,136470
2017-01-25,132710
2017-01-26,127463
2017-01-27,107103
2017-01-28,94013
2017-01-29,97429
2017-01-30,108495
2017-01-31,125105
2017-02-01,128469
2017-02-02,132076
2017-02-03,131368
2017-02-04,124102
2017-02-05,115470
2017-02-06,127744
2017-02-07,131732
2017-02-08,130831
2017-02-09,131124
2017-02-10,131278
2017-02-11,121023
2017-02-12,114197
2017-02-13,128882
2017-02-14,131353
2017-02-15,132314
2017-02-16,126356
2017-02-17,125649
2017-02-18,119708
2017-02-19,115403
2017-02-20,120145
2017-02-21,126833
2017-02-22,130854
2017-02-23,130871
2017-02-24,128736
2017-02-25,118415
2017-02-26,111380
2017-02-27,124213
2017-02-28,125778
2017-03-01,120560
2017-03-02,125593
2017-03-03,126685
2017-03-04,112428
2017-03-05,100143
2017-03-06,117618
2017-03-07,123707
2017-03-08,121832
2017-03-09,118510
2017-03-10,118666
2017-03-11,105535
2017-03-12,98942
2017-03-13,107070
2017-03-14,113205
2017-03-15,114273
2017-03-16,113078
2017-03-17,113644
2017-03-18,109081
2017-03-19,100940
2017-03-20,111944
2017-03-21,111846
2017-03-22,113633
2017-03-23,116350
2017-03-24,117804
2017-03-25,110339
2017-03-26,103922
2017-03-27,114807
2017-03-28,117682
2017-03-29,117815
2017-03-30,115643
2017-03-31,108640
2017-04-01,102359
2017-04-02,96129
2017-04-03,97646
2017-04-04,106938
2017-04-05,108671
2017-04-06,108670
2017-04-07,106808
2017-04-08,95773
2017-04-09,76159
2017-04-10,93043
2017-04-11,101141
2017-04-12,83526
2017-04-13,90787
2017-04-14,100944
2017-04-15,93444
2017-04-16,79936
2017-04-17,97733
2017-04-18,101186
2017-04-19,100324
2017-04-20,100206
2017-04-21,99965
2017-04-22,93146
2017-04-23,85281
2017-04-24,96253
2017-04-25,99162
2017-04-26,104827
2017-04-27,112550
2017-04-28,113052
2017-04-29,110467
2017-04-30,101052
2017-05-01,105477
2017-05-02,112264
2017-05-03,110803
2017-05-04,111697
2017-05-05,107331
2017-05-06,104569
2017-05-07,101722
2017-05-08,103877
2017-05-09,109903
2017-05-10,113286
2017-05-11,113426
2017-05-12,115697
2017-05-13,106597
2017-05-14,97359
2017-05-15,97764
2017-05-16,102031
2017-05-17,99972
2017-05-18,102431
2017-05-19,101655
2017-05-20,95718
2017-05-21,93560
2017-05-22,110957
2017-05-23,112817
2017-05-24,114469
2017-05-25,113178
2017-05-26,111944
2017-05-27,95007
2017-05-28,90449
2017-05-29,108947
2017-05-30,113558
2017-05-31,116553
2017-06-01,119954
2017-06-02,118594
2017-06-03,109123
2017-06-04,98348
2017-06-05,114702
2017-06-06,114037
2017-06-07,116004
2017-06-08,116220
2017-06-09,116913
2017-06-10,110323
2017-06-11,104222
2017-06-12,115439
2017-06-13,118962
2017-06-14,116288
2017-06-15,117554
2017-06-16,117419
2017-06-17,111297
2017-06-18,106047
2017-06-19,114691
2017-06-20,119256
2017-06-21,119973
2017-06-22,121839
2017-06-23,120826
2017-06-24,116059
2017-06-25,108397
2017-06-26,119081
2017-06-27,121888
2017-06-28,121889
2017-06-29,123495
2017-06-30,119218
2017-07-01,117643
2017-07-02,112022
2017-07-03,121737
2017-07-04,126739
2017-07-05,127512
2017-07-06,126519
2017-07-07,124854
2017-07-08,118333
2017-07-09,113507
2017-07-10,122457
2017-07-11,128582
2017-07-12,128107
2017-07-13,129527
2017-07-14,128195
2017-07-15,123986
2017-07-16,117308
2017-07-17,125188
2017-07-18,126862
2017-07-19,128987
2017-07-20,129689
2017-07-21,129104
2017-07-22,126021
2017-07-23,118893
2017-07-24,128099
2017-07-25,129278
2017-07-26,128081
2017-07-27,128390
2017-07-28,127522
2017-07-29,119514
2017-07-30,114077
2017-07-31,118809
2017-08-01,119463
2017-08-02,119736
2017-08-03,122479
2017-08-04,124659
2017-08-05,119895
2017-08-06,111953
2017-08-07,125072
2017-08-08,129651
2017-08-09,129285
2017-08-10,128825
2017-08-11,129371
2017-08-12,122627
2017-08-13,112055
2017-08-14,122736
2017-08-15,119103
2017-08-16,125302
2017-08-17,127808
2017-08-18,126426
2017-08-19,117472
2017-08-20,113259
2017-08-21,124404
2017-08-22,127870
2017-08-23,127487
2017-08-24,127643
2017-08-25,126011
